SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
ARCHIDPLY,Archidply Industries Limited,04-Jul-08,INE877I01016
ARCHIES,Archies Limited,02-Sep-98,INE731A01020
ARENTERP,Rajdarshan Industries Limited,18-Oct-95,INE610C01014
ARIES,Aries Agro Limited,11-Jan-08,INE298I01015
ARIHANTCAP,Arihant Capital Markets Limited,15-Jun-21,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,28-Mar-17,INE643K01018
ARMANFIN,Arman Financial Services Limited,14-Jun-16,INE109C01017
AROGRANITE,Aro Granite Industries Limited,24-Apr-07,INE210C01013
ARROWGREEN,Arrow Greentech Limited,21-May-15,INE570D01018
ARSHIYA,Arshiya Limited,14-Dec-09,INE968D01022
ARTEMISMED,Artemis Medicare Services Limited,23-Jan-20,INE025R01021
ARTNIRMAN,Art Nirman Limited,18-Oct-21,INE738V01013
ARVEE,Arvee Laboratories (India) Limited,22-Mar-21,INE006Z01016
ARVIND,Arvind Limited,08-Feb-95,INE034A01011
ARVINDFASN,Arvind Fashions Limited,08-Mar-19,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,26-Aug-15,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,18-Mar-98,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,29-Aug-11,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,12-Mar-02,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,12-Feb-20,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,20-Sep-95,INE348A01023
ASHIANA,Ashiana Housing Limited,29-Jun-11,INE365D01021
ASHIMASYN,Ashima Limited,27-Jul-95,INE440A01010
ASHOKA,Ashoka Buildcon Limited,14-Oct-10,INE442H01029
ASHOKLEY,Ashok Leyland Limited,25-May-95,INE208A01029
ASIANENE,Asian Energy Services Limited,09-Dec-21,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,07-Apr-10,INE363A01022
ASIANPAINT,Asian Paints Limited,31-May-95,INE021A01026
ASIANTILES,Asian Granito India Limited,23-Aug-07,INE022I01019
ASMS,Bartronics India Limited,09-Feb-23,INE855F01042
ASPINWALL,Aspinwall and Company Limited,14-Jun-16,INE991I01015
ASTEC,Astec LifeSciences Limited,25-Nov-09,INE563J01010
ASTERDM,Aster DM Healthcare Limited,26-Feb-18,INE914M01019
ASTRAL,Astral Limited,20-Mar-07,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,01-Nov-04,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,04-May-01,INE203A01020
ASTRON,Astron Paper & Board Mill Limited,29-Dec-17,INE646X01014
ATALREAL,Atal Realtech Limited,12-May-23,INE0ALR01011
ATAM,Atam Valves Limited,10-May-23,INE09KD01013
ATFL,Agro Tech Foods Limited,06-Dec-02,INE209A01019
ATGL,Adani Total Gas Limited,05-Nov-18,INE399L01023
ATLANTA,Atlanta  Limited,25-Sep-06,INE285H01022
ATUL,Atul Limited,06-May-98,INE100A01010
ATULAUTO,Atul Auto Limited,26-Jun-13,INE951D01028
AUBANK,AU Small Finance Bank Limited,10-Jul-17,INE949L01017
AURIONPRO,Aurionpro Solutions Limited,25-Oct-05,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,19-Jul-00,INE406A01037
AURUM,Aurum PropTech Limited,19-Aug-15,INE898S01029
