SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
ISFT,Intrasoft Technologies Limited,12-Apr-10,INE566K01011
ISGEC,Isgec Heavy Engineering Limited,05-May-21,INE858B01029
ISMTLTD,ISMT Limited,28-Aug-07,INE732F01019
ITC,ITC Limited,23-Aug-95,INE154A01025
ITDC,India Tourism Development Corporation Limited,30-Dec-16,INE353K01014
ITDCEM,ITD Cementation India Limited,10-Feb-99,INE686A01026
ITI,ITI Limited,15-Sep-03,INE248A01017
IVC,IL&FS Investment Managers Limited,15-Sep-99,INE050B01023
IVP,IVP Limited,13-Sep-95,INE043C01018
IWEL,Inox Wind Energy Limited,11-Jun-21,INE0FLR01028
IZMO,IZMO Limited,05-Feb-07,INE848A01014
J&KBANK,The Jammu & Kashmir Bank Limited,22-Jul-98,INE168A01041
JAGRAN,Jagran Prakashan Limited,22-Feb-06,INE199G01027
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,01-Mar-00,INE048B01027
JAIBALAJI,Jai Balaji Industries Limited,09-Dec-03,INE091G01018
JAICORPLTD,Jai Corp Limited,26-Nov-97,INE070D01027
JAIPURKURT,Nandani Creation Limited,02-Sep-21,INE696V01013
JAMNAAUTO,Jamna Auto Industries Limited,10-Dec-10,INE039C01032
JASH,Jash Engineering Limited,30-Oct-19,INE039O01011
JAYAGROGN,Jayant Agro Organics Limited,17-Apr-96,INE785A01026
JAYBARMARU,Jay Bharat Maruti Limited,03-Jan-96,INE571B01028
JAYNECOIND,Jayaswal Neco Industries Limited,10-May-95,INE854B01010
JAYSREETEA,Jayshree Tea & Industries Limited,15-Feb-95,INE364A01020
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,29-Apr-03,INE572A01028
JBMA,JBM Auto Limited,17-Dec-04,INE927D01044
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,03-Jan-00,INE782A01015
JETAIRWAYS,Jet Airways (India) Limited,14-Mar-05,INE802G01018
JETFREIGHT,Jet Freight Logistics Limited,21-Dec-21,INE982V01025
JHS,JHS Svendgaard Laboratories Limited,21-Oct-06,INE544H01014
JINDALPHOT,Jindal Photo Limited,07-Apr-05,INE796G01012
JINDALPOLY,Jindal Poly Films Limited,21-Jan-02,INE197D01010
JINDALSAW,Jindal Saw Limited,29-Apr-03,INE324A01024
JINDALSTEL,Jindal Steel & Power Limited,29-Dec-99,INE749A01030
JINDRILL,Jindal Drilling And Industries Limited,22-Dec-06,INE742C01031
JINDWORLD,Jindal Worldwide Limited,25-Nov-10,INE247D01039
JISLDVREQS,Jain Irrigation Systems Limited,30-Nov-11,IN9175A01010
JISLJALEQS,Jain Irrigation Systems Limited,13-Aug-01,INE175A01038
JITFINFRA,JITF Infralogistics Limited,27-Feb-17,INE863T01013
JKCEMENT,JK Cement Limited,14-Mar-06,INE823G01014
JKIL,J.Kumar Infraprojects Limited,12-Feb-08,INE576I01022
JKLAKSHMI,JK Lakshmi Cement Limited,19-Jun-06,INE786A01032
JKPAPER,JK Paper Limited,16-Jun-05,INE789E01012
JKTYRE,JK Tyre & Industries Limited,19-Mar-07,INE573A01042
JMA,Jullundur Motor Agency (Delhi) Limited,16-Mar-15,INE412C01023
JMFINANCIL,JM Financial Limited,10-Oct-06,INE780C01023
JOCIL,Jocil Limited,08-Oct-08,INE839G01010
JPASSOCIAT,Jaiprakash Associates Limited,14-Jun-04,INE455F01025
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,11-Nov-13,INE147P01019
JPPOWER,Jaiprakash Power Ventures Limited,18-Apr-05,INE351F01018
JSL,Jindal Stainless Limited,17-Nov-03,INE220G01021
JSWENERGY,JSW Energy Limited,04-Jan-10,INE121E01018
JSWHL,JSW Holdings Limited,21-Jun-05,INE824G01012
JSWISPL,JSW Ispat Special Products Limited,12-Sep-18,INE743C01021
JSWSTEEL,JSW Steel Limited,23-Mar-05,INE019A01038
JTEKTINDIA,Jtekt India Limited,12-Jan-04,INE643A01035
JTLIND,JTL INDUSTRIES LIMITED,23-Dec-21,INE391J01024
JUBLFOOD,Jubilant Foodworks Limited,08-Feb-10,INE797F01020
JUBLINDS,Jubilant Industries Limited,14-Feb-11,INE645L01011
JUBLINGREA,Jubilant Ingrevia Limited,19-Mar-21,INE0BY001018
JUBLPHARMA,Jubilant Pharmova Limited,16-Jun-03,INE700A01033
JUSTDIAL,Just Dial Limited,05-Jun-13,INE599M01018
JWL,Jupiter Wagons Limited,18-Oct-10,INE209L01016
JYOTHYLAB,Jyothy Labs Limited,19-Dec-07,INE668F01031
JYOTISTRUC,Jyoti Structures Limited,19-Jul-95,INE197A01024
KABRAEXTRU,Kabra Extrusion Technik Limited,06-Sep-95,INE900B01029
KAJARIACER,Kajaria Ceramics Limited,01-Jun-04,INE217B01036
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,13-Dec-95,INE437B01014
KALPATPOWR,Kalpataru Power Transmission Limited,15-Dec-00,INE220B01022
KALYANI,Kalyani Commercials Limited,13-Feb-17,INE610E01010
KALYANIFRG,Kalyani Forge Limited,20-Dec-07,INE314G01014
KALYANKJIL,Kalyan Jewellers India Limited,26-Mar-21,INE303R01014
KAMATHOTEL,Kamat Hotels (I) Limited,29-May-96,INE967C01018
KAMDHENU,Kamdhenu Limited,09-May-06,INE390H01012
KAMOPAINTS,Kamdhenu Ventures Limited,24-Jan-23,INE0BTI01029
KANANIIND,Kanani Industries Limited,14-Dec-11,INE879E01037
KANORICHEM,Kanoria Chemicals & Industries Limited,08-Feb-95,INE138C01024
KANPRPLA,Kanpur Plastipack Limited,01-Jan-21,INE694E01014
KANSAINER,Kansai Nerolac Paints Limited,15-Sep-03,INE531A01024
KAPSTON,Kapston Services Limited,27-May-20,INE542Z01010
KARMAENG,Karma Energy Limited,28-Jun-11,INE725L01011
KARURVYSYA,Karur Vysya Bank Limited,26-Jul-00,INE036D01028
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,14-Dec-07,INE234I01010
KAVVERITEL,Kavveri Telecom Products Limited,29-Jan-08,INE641C01019
KAYA,Kaya Limited,14-Aug-15,INE587G01015
KAYNES,Kaynes Technology India Limited,22-Nov-22,INE918Z01012
KBCGLOBAL,KBC Global Limited,02-Apr-18,INE278R01034
KCP,KCP Limited,09-Apr-97,INE805C01028
KCPSUGIND,KCP Sugar and Industries Corporation Limited,11-Jun-97,INE790B01024
KDDL,KDDL Limited,23-Mar-16,INE291D01011
KEC,KEC International Limited,10-Mar-06,INE389H01022
KECL,Kirloskar Electric Company Limited,09-Mar-10,INE134B01017
KEEPLEARN,DSJ Keep Learning Limited,01-Mar-95,INE055C01020
KEI,KEI Industries Limited,23-Mar-06,INE878B01027
KELLTONTEC,Kellton Tech Solutions Limited,02-Mar-16,INE164B01022
KENNAMET,Kennametal India Limited,03-Nov-94,INE717A01029
KERNEX,Kernex Microsystems (India) Limited,20-Dec-05,INE202H01019
KESORAMIND,Kesoram Industries Limited,06-Sep-95,INE087A01019
KEYFINSERV,Keynote Financial Services Limited,26-Jun-96,INE681C01015
KFINTECH,Kfin Technologies Limited,29-Dec-22,INE138Y01010
KHADIM,Khadim India Limited,14-Nov-17,INE834I01025
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,30-Oct-20,INE745B01028
KHAITANLTD,Khaitan (India) Limited,20-Dec-95,INE731C01018
KHANDSE,Khandwala Securities Limited,07-Feb-01,INE060B01014
KICL,Kalyani Investment Company Limited,14-Jan-11,INE029L01018
KILITCH,Kilitch Drugs (India) Limited,29-Sep-10,INE729D01010
KIMS,Krishna Institute of Medical Sciences Limited,28-Jun-21,INE967H01017
KINGFA,Kingfa Science & Technology (India) Limited,15-Nov-16,INE473D01015
KIOCL,KIOCL Limited,29-Nov-16,INE880L01014
KIRIINDUS,Kiri Industries Limited,22-Apr-08,INE415I01015
KIRLFER,Kirloskar Ferrous Industries Ltd,13-Nov-19,INE884B01025
KIRLOSBROS,Kirloskar Brothers Limited,20-Apr-10,INE732A01036
KIRLOSENG,Kirloskar Oil Engines Limited,24-Dec-10,INE146L01010
KIRLOSIND,Kirloskar Industries Limited,24-Jun-10,INE250A01039
KIRLPNU,Kirloskar Pneumatic Company Limited,26-Apr-23,INE811A01020
KITEX,Kitex Garments Limited,25-Sep-12,INE602G01020
KKCL,Kewal Kiran Clothing Limited,13-Apr-06,INE401H01017
KMSUGAR,K.M.Sugar Mills Limited,31-May-07,INE157H01023
KNRCON,KNR Constructions Limited,18-Feb-08,INE634I01029
KOHINOOR,Kohinoor Foods Limited,20-Oct-99,INE080B01012
KOKUYOCMLN,Kokuyo Camlin Limited,28-Jul-08,INE760A01029
KOLTEPATIL,Kolte - Patil Developers Limited,13-Dec-07,INE094I01018
KOPRAN,Kopran Limited,09-Jun-99,INE082A01010
KOTAKBANK,Kotak Mahindra Bank Limited,20-Dec-95,INE237A01028
KOTARISUG,Kothari Sugars And Chemicals Limited,13-Dec-04,INE419A01022
KOTHARIPET,Kothari Petrochemicals Limited,02-Nov-96,INE720A01015
KOTHARIPRO,Kothari Products Limited,03-Jun-98,INE823A01017
KOVAI,Kovai Medical Center and Hospital Limited,05-Aug-21,INE177F01017
KPIGREEN,KPI Green Energy Limited,27-Jul-21,INE542W01017
KPITTECH,KPIT Technologies Limited,22-Apr-19,INE04I401011
KPRMILL,K.P.R. Mill Limited,28-Aug-07,INE930H01031
KRBL,KRBL Limited,21-Jan-02,INE001B01026
KREBSBIO,Krebs Biochemicals and Industries Limited,03-Jan-96,INE268B01013
KRIDHANINF,Kridhan Infra Limited,11-Dec-15,INE524L01026
KRISHANA,Krishana Phoschem Limited,22-Aug-19,INE506W01012
KRITI,Kriti Industries (India) Limited,01-Nov-21,INE479D01038
KRITIKA,Kritika Wires Limited,04-May-22,INE00Z501029
KRITINUT,Kriti Nutrients Limited,07-Oct-22,INE798K01010
KRSNAA,Krsnaa Diagnostics Limited,16-Aug-21,INE08LI01020
KSB,Ksb Limited,08-Feb-95,INE999A01015
KSCL,Kaveri Seed Company Limited,04-Oct-07,INE455I01029
KSHITIJPOL,Kshitij Polyline Limited,27-Jul-22,INE013801027
KSL,Kalyani Steels Limited,19-May-10,INE907A01026
KSOLVES,Ksolves India Limited,23-Sep-22,INE0D6I01015
KTKBANK,The Karnataka Bank Limited,10-May-00,INE614B01018
KUANTUM,Kuantum Papers Limited,23-Oct-19,INE529I01021
L&TFH,L&T Finance Holdings Limited,12-Aug-11,INE498L01015
LAGNAM,Lagnam Spintex Limited,30-Sep-21,INE548Z01017
LAKPRE,Lakshmi Precision Screws Limited,26-Sep-06,INE651C01018
LAL,Lorenzini Apparels Limited,10-Apr-23,INE740X01015
LALPATHLAB,Dr. Lal Path Labs Ltd.,23-Dec-15,INE600L01024
LAMBODHARA,Lambodhara Textiles Limited,04-Feb-15,INE112F01022
LANDMARK,Landmark Cars Limited,23-Dec-22,INE559R01029
LAOPALA,La Opala RG Limited,16-Mar-07,INE059D01020
LASA,Lasa Supergenerics Limited,21-Sep-17,INE670X01014
LATENTVIEW,Latent View Analytics Limited,23-Nov-21,INE0I7C01011
LAURUSLABS,Laurus Labs Limited,19-Dec-16,INE947Q01028
LAXMICOT,Laxmi Cotspin Limited,12-Nov-21,INE801V01019
LAXMIMACH,Lakshmi Machine Works Limited,29-Mar-95,INE269B01029
LCCINFOTEC,LCC Infotech Limited,02-Mar-00,INE938A01021
LEMONTREE,Lemon Tree Hotels Limited,09-Apr-18,INE970X01018
LEXUS,Lexus Granito (India) Limited,13-Mar-23,INE500X01013
LFIC,Lakshmi Finance & Industrial Corporation Limited,15-Apr-15,INE850E01012
LGBBROSLTD,LG Balakrishnan & Bros Limited,30-Mar-10,INE337A01034
LGBFORGE,LGB Forge Limited,01-Aug-08,INE201J01017
LIBAS,Libas Consumer Products Limited,23-Jul-19,INE908V01012
LIBERTSHOE,Liberty Shoes Limited,27-Sep-95,INE557B01019
LICHSGFIN,LIC Housing Finance Limited,29-Jul-98,INE115A01026
LICI,Life Insurance Corporation Of India,17-May-22,INE0J1Y01017
LIKHITHA,Likhitha Infrastructure Limited,15-Oct-20,INE060901027
LINC,Linc Limited,09-Mar-15,INE802B01019
LINCOLN,Lincoln Pharmaceuticals Limited,17-Dec-15,INE405C01035
LINDEINDIA,Linde India Limited,16-Jun-99,INE473A01011
LODHA,Macrotech Developers Limited,19-Apr-21,INE670K01029
LOKESHMACH,Lokesh Machines Limited,05-May-06,INE397H01017
LOTUSEYE,Lotus Eye Hospital and Institute Limited,11-Jul-08,INE947I01017
LOVABLE,Lovable Lingerie Limited,24-Mar-11,INE597L01014
LOYALTEX,Loyal Textile Mills Limited,11-Aug-22,INE970D01010
LPDC,Landmark Property Development Company Limited,12-Aug-08,INE197J01017
LSIL,Lloyds Steels Industries Limited,18-Jul-16,INE093R01011
LT,Larsen & Toubro Limited,23-Jun-04,INE018A01030
LTIM,LTIMindtree Limited,21-Jul-16,INE214T01019
LTTS,L&T Technology Services Limited,23-Sep-16,INE010V01017
LUMAXIND,Lumax Industries Limited,06-Sep-95,INE162B01018
LUMAXTECH,Lumax Auto Technologies Limited,16-Jan-07,INE872H01027
LUPIN,Lupin Limited,10-Sep-01,INE326A01037
LUXIND,Lux Industries Limited,30-Nov-15,INE150G01020
LXCHEM,Laxmi Organic Industries Limited,25-Mar-21,INE576O01020
LYKALABS,Lyka Labs Limited,08-Feb-95,INE933A01014
LYPSAGEMS,Lypsa Gems & Jewellery Limited,05-Nov-13,INE142K01011
M&M,Mahindra & Mahindra Limited,03-Jan-96,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services Limited,17-Mar-06,INE774D01024
MAANALU,Maan Aluminium Limited,22-Oct-07,INE215I01019
MACPOWER,Macpower CNC Machines Limited,19-Aug-20,INE155Z01011
MADHAV,Madhav Marbles and Granites Limited,20-Dec-07,INE925C01016
MADHUCON,Madhucon Projects Limited,05-Oct-06,INE378D01032
MADRASFERT,Madras Fertilizers Limited,25-Jul-97,INE414A01015
MAGADSUGAR,Magadh Sugar & Energy Limited,28-Jul-17,INE347W01011
MAGNUM,Magnum Ventures Limited,20-Sep-07,INE387I01016
MAHABANK,Bank of Maharashtra,12-Apr-04,INE457A01014
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,21-Jan-98,INE843B01013
MAHASTEEL,Mahamaya Steel Industries Limited,01-Jul-16,INE451L01014
MAHEPC,Mahindra EPC Irrigation Limited,14-Feb-20,INE215D01010
MAHESHWARI,Maheshwari Logistics Limited,15-Apr-19,INE263W01010
MAHINDCIE,Mahindra CIE Automotive Limited,30-Aug-07,INE536H01010
MAHLIFE,Mahindra Lifespace Developers Limited,10-May-00,INE813A01018
MAHLOG,Mahindra Logistics Limited,10-Nov-17,INE766P01016
MAHSCOOTER,Maharashtra Scooters Limited,08-Feb-95,INE288A01013
MAHSEAMLES,Maharashtra Seamless Limited,25-Aug-04,INE271B01025
MAITHANALL,Maithan Alloys Limited,05-Jul-11,INE683C01011
MALLCOM,Mallcom (India) Limited,02-Feb-22,INE389C01015
MALUPAPER,Malu Paper Mills Limited,05-Apr-06,INE383H01017
MANAKALUCO,Manaksia Aluminium Company Limited,30-Mar-15,INE859Q01017
MANAKCOAT,Manaksia Coated Metals & Industries Limited,30-Mar-15,INE830Q01018
MANAKSIA,Manaksia Limited,08-Jan-08,INE015D01022
MANAKSTEEL,Manaksia Steels Limited,30-Mar-15,INE824Q01011
MANALIPETC,Manali Petrochemicals Limited,06-Dec-06,INE201A01024
MANAPPURAM,Manappuram Finance Limited,01-Dec-14,INE522D01027
MANGALAM,Mangalam Drugs And Organics Limited,23-May-05,INE584F01014
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,22-Oct-07,INE558B01017
MANGLMCEM,Mangalam Cement Limited,03-Jan-96,INE347A01017
MANINDS,Man Industries (India) Limited,24-Jun-05,INE993A01026
MANINFRA,Man Infraconstruction Limited,11-Mar-10,INE949H01023
MANKIND,Mankind Pharma Limited,09-May-23,INE634S01028
MANOMAY,Manomay Tex India Limited,18-Jan-23,INE784W01015
MANORAMA,Manorama Industries Limited,01-Jul-22,INE00VM01010
MANORG,Mangalam Organics Limited,02-Nov-21,INE370D01013
MANUGRAPH,Manugraph India Limited,14-Sep-06,INE867A01022
MANYAVAR,Vedant Fashions Limited,16-Feb-22,INE825V01034
MAPMYINDIA,C.E. Info Systems Limited,21-Dec-21,INE0BV301023
MARALOVER,Maral Overseas Limited,08-Feb-95,INE882A01013
MARATHON,Marathon Nextgen Realty Limited,29-Sep-16,INE182D01020
MARICO,Marico Limited,01-May-96,INE196A01026
MARINE,Marine Electricals (India) Limited,02-Dec-20,INE01JE01028
MARKSANS,Marksans Pharma Limited,21-Jan-02,INE750C01026
MARSHALL,Marshall Machines Limited,22-Nov-21,INE00SZ01018
MARUTI,Maruti Suzuki India Limited,09-Jul-03,INE585B01010
MASFIN,MAS Financial Services Limited,18-Oct-17,INE348L01012
MASKINVEST,Mask Investments Limited,14-Oct-16,INE885F01015
MASTEK,Mastek Limited,10-May-95,INE759A01021
MATRIMONY,Matrimony.Com Limited,21-Sep-17,INE866R01028
MAWANASUG,Mawana Sugars Limited,20-Mar-09,INE636A01039
MAXHEALTH,Max Healthcare Institute Limited,21-Aug-20,INE027H01010
MAXIND,Max India Limited,28-Aug-20,INE0CG601016
MAXVIL,Max Ventures and Industries Limited,22-Jun-16,INE154U01015
MAYURUNIQ,Mayur Uniquoters Ltd,25-Sep-12,INE040D01038
MAZDA,Mazda Limited,01-Nov-16,INE885E01034
MAZDOCK,Mazagon Dock Shipbuilders Limited,12-Oct-20,INE249Z01012
MBAPL,Madhya Bharat Agro Products Limited,22-Aug-19,INE900L01010
MBLINFRA,MBL Infrastructure Limited,11-Jan-10,INE912H01013
MCDOWELL-N,United Spirits Limited,27-Sep-01,INE854D01024
MCL,Madhav Copper Limited,19-Aug-20,INE813V01022
MCLEODRUSS,Mcleod Russel India Limited,29-Jul-05,INE942G01012
MCX,Multi Commodity Exchange of India Limited,09-Mar-12,INE745G01035
MEDANTA,Global Health Limited,16-Nov-22,INE474Q01031
MEDICAMEQ,Medicamen Biotech Limited,27-Oct-21,INE646B01010
MEDICO,Medico Remedies Limited,26-May-22,INE630Y01024
MEDPLUS,Medplus Health Services Limited,23-Dec-21,INE804L01022
MEGASOFT,Megasoft Limited,19-Jul-07,INE933B01012
MEGASTAR,Megastar Foods Limited,16-Feb-22,INE00EM01016
MELSTAR,Melstar Information Technologies Limited,07-Mar-00,INE817A01019
MENONBE,Menon Bearings Limited,09-Mar-15,INE071D01033
MEP,MEP Infrastructure Developers Limited,06-May-15,INE776I01010
METROBRAND,Metro Brands Limited,22-Dec-21,INE317I01021
METROPOLIS,Metropolis Healthcare Limited,15-Apr-19,INE112L01020
MFL,Meghmani Finechem Limited,18-Aug-21,INE071N01016
MFSL,Max Financial Services Limited,17-May-00,INE180A01020
MGEL,Mangalam Global Enterprise Limited,23-Dec-20,INE0APB01024
MGL,Mahanagar Gas Limited,01-Jul-16,INE002S01010
MHLXMIRU,Mahalaxmi Rubtech Limited,27-Jan-22,INE112D01035
MHRIL,Mahindra Holidays & Resorts India Limited,16-Jul-09,INE998I01010
MICEL,MIC Electronics Limited,17-Dec-21,INE287C01037
MIDHANI,Mishra Dhatu Nigam Limited,04-Apr-18,INE099Z01011
MINDACORP,Minda Corporation Limited,16-Oct-14,INE842C01021
MINDTECK,Mindteck (India) Limited,02-Aug-16,INE110B01017
MIRCELECTR,MIRC Electronics Limited,24-May-04,INE831A01028
MIRZAINT,Mirza International Limited,28-Apr-99,INE771A01026
MITCON,MITCON Consultancy & Engineering Services Limited,17-Mar-22,INE828O01033
MITTAL,Mittal Life Style Limited,29-Apr-20,INE997Y01019
MMFL,MM Forgings Limited,20-Dec-06,INE227C01017
MMP,MMP Industries Limited,09-Jan-20,INE511Y01018
MMTC,MMTC Limited,09-Apr-12,INE123F01029
MODIRUBBER,Modi Rubber Limited,07-Feb-96,INE832A01018
MODISONLTD,MODISON LIMITED,03-May-21,INE737D01021
MOHITIND,Mohit Industries Limited,14-Mar-13,INE954E01012
MOIL,MOIL Limited,15-Dec-10,INE490G01020
MOKSH,Moksh Ornaments Limited,21-May-21,INE514Y01020
MOL,Meghmani Organics Limited,18-Aug-21,INE0CT101020
MOLDTECH,Mold-Tek Technologies Limited,07-Jul-16,INE835B01035
MOLDTKPAC,Mold-Tek Packaging Limited,23-Feb-15,INE893J01029
MONARCH,Monarch Networth Capital Limited,06-Jan-22,INE903D01011
MONTECARLO,Monte Carlo Fashions Limited,19-Dec-14,INE950M01013
MORARJEE,Morarjee Textiles Limited,14-Sep-12,INE161G01027
MOREPENLAB,Morepen Laboratories Limited,24-Nov-99,INE083A01026
MOTHERSON,Samvardhana Motherson International Limited,14-Aug-96,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Limited,11-Sep-07,INE338I01027
MOTOGENFIN,The Motor & General Finance Limited,08-Feb-95,INE861B01023
MPHASIS,MphasiS Limited,04-Jun-04,INE356A01018
MPSLTD,MPS Limited,21-Jan-02,INE943D01017
MRF,MRF Limited,18-Sep-96,INE883A01011
MRO-TEK,MRO-TEK Realty Limited,01-Nov-00,INE398B01018
MRPL,Mangalore Refinery and Petrochemicals Limited,07-Jan-05,INE103A01014
MSPL,MSP Steel & Power Limited,18-Jul-05,INE752G01015
MSTCLTD,Mstc Limited,29-Mar-19,INE255X01014
MSUMI,Motherson Sumi Wiring India Limited,28-Mar-22,INE0FS801015
MTARTECH,Mtar Technologies Limited,15-Mar-21,INE864I01014
MTEDUCARE,MT Educare Limited,12-Apr-12,INE472M01018
MTNL,Mahanagar Telephone Nigam Limited,17-Feb-99,INE153A01019
MUKANDLTD,Mukand Limited,23-Feb-04,INE304A01026
MUKTAARTS,Mukta Arts Limited,12-Sep-00,INE374B01019
MUNJALAU,Munjal Auto Industries Limited,19-Jul-06,INE672B01032
MUNJALSHOW,Munjal Showa Limited,12-May-03,INE577A01027
MURUDCERA,Murudeshwar Ceramics Limited,28-May-04,INE692B01014
MUTHOOTCAP,Muthoot Capital Services Limited,24-Aug-15,INE296G01013
MUTHOOTFIN,Muthoot Finance Limited,06-May-11,INE414G01012
NACLIND,NACL Industries Limited,07-Apr-17,INE295D01020
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,15-Jun-16,INE454M01024
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,18-Sep-07,INE245I01016
NAGREEKEXP,Nagreeka Exports Limited,18-Jun-07,INE123B01028
NAHARCAP,Nahar Capital and Financial Services Limited,11-Mar-08,INE049I01012
NAHARINDUS,Nahar Industrial Enterprises Limited,15-Dec-05,INE289A01011
NAHARPOLY,Nahar Poly Films Limited,23-Mar-07,INE308A01027
NAHARSPING,Nahar Spinning Mills Limited,23-Mar-07,INE290A01027
NAM-INDIA,Nippon Life India Asset Management Limited,06-Nov-17,INE298J01013
NARMADA,Narmada Agrobase Limited,27-Oct-22,INE117Z01011
NATCOPHARM,Natco Pharma Limited,27-Dec-95,INE987B01026
NATHBIOGEN,Nath Bio-Genes (India) Limited,28-Jan-14,INE448G01010
NATIONALUM,National Aluminium Company Limited,28-Apr-99,INE139A01034
NATNLSTEEL,National Steel And Agro Industries Limited,26-Sep-02,INE088B01015
NAUKRI,Info Edge (India) Limited,21-Nov-06,INE663F01024
NAVA,NAVA LIMITED,03-Apr-96,INE725A01022
NAVINFLUOR,Navin Fluorine International Limited,01-Jun-07,INE048G01026
NAVKARCORP,Navkar Corporation Limited,09-Sep-15,INE278M01019
NAVNETEDUL,Navneet Education Limited,08-Feb-95,INE060A01024
NAZARA,Nazara Technologies Limited,30-Mar-21,INE418L01021
NBCC,NBCC (India) Limited,12-Apr-12,INE095N01031
NBIFIN,N. B. I. Industrial Finance Company Limited,23-Nov-16,INE365I01020
NCC,NCC Limited,14-Oct-03,INE868B01028
NCLIND,NCL Industries Limited,03-Apr-07,INE732C01016
NDGL,Naga Dhunseri Group Limited,29-Aug-16,INE756C01015
NDL,Nandan Denim Limited,23-Mar-12,INE875G01030
NDLVENTURE,NDL Ventures Limited,24-Apr-07,INE353A01023
NDRAUTO,Ndr Auto Components Limited,30-Jul-20,INE07OG01012
NDTV,New Delhi Television Limited,19-May-04,INE155G01029
NECCLTD,North Eastern Carrying Corporation Limited,02-Mar-16,INE553C01016
NECLIFE,Nectar Lifesciences Limited,18-Jul-05,INE023H01027
NELCAST,Nelcast Limited,27-Jun-07,INE189I01024
NELCO,NELCO Limited,28-May-03,INE045B01015
NEOGEN,Neogen Chemicals Limited,08-May-19,INE136S01016
NESCO,Nesco Limited,08-Apr-08,INE317F01035
NESTLEIND,Nestle India Limited,08-Jan-10,INE239A01016
NETWORK18,Network18 Media & Investments Limited,02-Feb-07,INE870H01013
NEULANDLAB,Neuland Laboratories Limited,13-Oct-08,INE794A01010
NEWGEN,Newgen Software Technologies Limited,29-Jan-18,INE619B01017
NEXTMEDIA,Next Mediaworks Limited,04-Apr-01,INE747B01016
NFL,National Fertilizers Limited,28-Dec-06,INE870D01012
NGIL,Nakoda Group of Industries Limited,20-Aug-21,INE236Y01012
NGLFINE,NGL Fine-Chem Limited,08-Jul-22,INE887E01022
NH,Narayana Hrudayalaya Ltd.,06-Jan-16,INE410P01011
NHPC,NHPC Limited,01-Sep-09,INE848E01016
NIACL,The New India Assurance Company Limited,13-Nov-17,INE470Y01017
NIBL,NRB Industrial Bearings Limited,09-Apr-13,INE047O01014
NIITLTD,NIIT Limited,16-Aug-04,INE161A01038
NILAINFRA,Nila Infrastructures Limited,21-May-15,INE937C01029
NILASPACES,Nila Spaces Limited,28-Dec-18,INE00S901012
NILKAMAL,Nilkamal Limited,01-Nov-95,INE310A01015
NINSYS,NINtec Systems Limited,21-Feb-23,INE395U01014
NIPPOBATRY,Indo-National Limited,06-Oct-99,INE567A01028
NIRAJ,Niraj Cement Structurals Limited,01-Oct-20,INE368I01016
NIRAJISPAT,Niraj Ispat Industries Limited,27-Oct-16,INE326T01011
NITCO,Nitco Limited,21-Mar-06,INE858F01012
NITINSPIN,Nitin Spinners Limited,02-Feb-06,INE229H01012
NITIRAJ,Nitiraj Engineers Limited,22-Apr-21,INE439T01012
NKIND,NK Industries Limited,07-Jul-95,INE542C01019
NLCINDIA,NLC India Limited,23-Aug-00,INE589A01014
NMDC,NMDC Limited,03-Mar-08,INE584A01023
NOCIL,NOCIL Limited,17-Jan-96,INE163A01018
NOIDATOLL,Noida Toll Bridge Company Limited,06-Dec-02,INE781B01015
NORBTEAEXP,Norben Tea & Exports Limited,26-Jun-96,INE369C01017
NOVARTIND,Novartis India Limited,08-Nov-00,INE234A01025
NRAIL,N R Agarwal Industries Limited,05-Apr-17,INE740D01017
NRBBEARING,NRB Bearing Limited,08-Mar-00,INE349A01021
NRL,Nupur Recyclers Limited,12-Jan-23,INE0JM501013
NSIL,Nalwa Sons Investments Limited,17-Nov-03,INE023A01030
NSLNISP,NMDC Steel Limited,20-Feb-23,INE0NNS01018
NTPC,NTPC Limited,05-Nov-04,INE733E01010
NUCLEUS,Nucleus Software Exports Limited,19-Dec-02,INE096B01018
NURECA,Nureca Limited,25-Feb-21,INE0DSF01015
NUVOCO,Nuvoco Vistas Corporation Limited,23-Aug-21,INE118D01016
NYKAA,FSN E-Commerce Ventures Limited,10-Nov-21,INE388Y01029
OAL,Oriental Aromatics Limited,11-Jul-19,INE959C01023
OBCL,Orissa Bengal Carrier Limited,07-Apr-22,INE426Z01016
OBEROIRLTY,Oberoi Realty Limited,20-Oct-10,INE093I01010
OCCL,Oriental Carbon & Chemicals Limited,27-Jan-16,INE321D01016
OFSS,Oracle Financial Services Software Limited,28-Jun-02,INE881D01027
OIL,Oil India Limited,30-Sep-09,INE274J01014
